Bleaching,Ocean,Year,Depth,Storms,HumanImpact,Siltation,Dynamite,Poison,Sewage,Industrial,Commercial
0,Pacific,2003,12.0,0,1,0,0,0,0,0,0
0,Pacific,2012,6.0,0,1,0,0,0,1,0,0
0,Pacific,2009,6.4,1,2,1,0,0,2,0,0
0,Pacific,2004,9.4,0,2,0,0,0,0,0,0
0,Pacific,2004,8.7,0,1,0,0,0,0,0,0
0,Pacific,2012,6.0,0,1,0,0,0,1,0,0
0,Pacific,2012,7.0,0,1,0,0,0,1,0,0
0,Pacific,2009,4.0,0,2,2,2,1,1,0,2
0,Pacific,2009,4.0,0,2,2,2,1,1,0,2
0,Pacific,2010,7.0,0,1,2,0,0,1,1,1
0,Pacific,2010,8.5,1,1,1,0,0,1,0,2
0,Pacific,2010,5.5,1,1,1,0,0,1,0,2
0,Pacific,2009,4.0,0,3,1,0,0,1,0,0
0,Pacific,2009,3.0,0,2,2,2,1,1,0,2
0,Pacific,2012,6.0,0,1,2,0,0,2,1,3
0,Pacific,2012,11.0,0,1,2,0,0,2,1,3
0,Pacific,2012,10.0,0,1,2,0,0,2,1,3
0,Pacific,2012,10.0,0,1,2,0,0,2,1,3
0,Pacific,2009,9.0,0,1,1,0,0,1,0,2
0,Pacific,2009,6.0,0,1,1,0,0,0,0,1
0,Pacific,2010,5.0,1,1,1,0,0,1,0,2
0,Pacific,2009,8.0,0,1,2,0,0,0,0,1
0,Pacific,2010,8.0,1,1,1,0,0,1,0,2
0,Pacific,2010,9.0,0,1,2,0,0,1,1,1
0,Pacific,2010,9.0,0,1,1,0,0,1,0,1
0,Pacific,2009,8.0,0,1,1,0,0,1,0,1
0,Pacific,2009,10.0,0,1,1,0,0,1,2,2
0,Pacific,2009,9.0,0,1,1,0,0,1,0,1
0,Pacific,2009,5.0,1,1,0,0,0,1,1,2
0,Pacific,2009,4.0,0,1,2,0,0,1,0,1
0,Pacific,2009,5.0,0,2,1,0,0,0,0,1
0,Pacific,2009,3.0,1,3,2,2,0,3,0,2
0,Pacific,2009,3.0,1,3,2,2,0,3,0,2
0,Pacific,2009,3.0,1,3,2,2,0,3,0,2
0,Pacific,2009,5.0,1,3,2,2,0,3,0,2
0,Pacific,2009,10.0,0,1,1,0,0,1,0,1
0,Pacific,2010,3.0,0,1,1,0,0,1,1,1
0,Pacific,2010,7.0,0,1,2,0,0,1,1,1
0,Pacific,2009,4.0,0,1,1,0,0,1,0,0
0,Pacific,2009,3.0,0,1,1,0,0,0,0,1
0,Pacific,2009,6.0,0,2,1,0,0,1,0,1
0,Pacific,2009,3.0,0,2,1,0,0,1,1,1
0,Pacific,2009,4.0,0,1,2,1,0,0,0,0
0,Pacific,2010,9.0,0,1,1,0,0,1,0,0
0,Pacific,2009,4.0,0,1,2,0,0,0,0,1
0,Pacific,2009,3.0,0,2,2,0,0,1,0,1
0,Pacific,2009,4.0,0,1,1,0,0,0,0,1
0,Pacific,2009,4.0,0,3,2,1,0,2,0,3
0,Pacific,2009,4.0,0,1,1,0,0,0,0,1
0,Pacific,2009,4.0,0,1,1,0,0,1,1,1
0,Pacific,2009,3.0,0,1,1,0,0,0,0,1
0,Pacific,2009,5.0,0,1,1,0,0,0,0,1
0,Pacific,2009,5.0,0,1,2,0,0,0,0,2
0,Pacific,2009,9.0,0,1,1,0,0,1,1,2
0,Pacific,2007,10.0,0,2,1,0,0,2,0,0
0,Pacific,2007,11.0,0,2,1,0,0,2,0,0
0,Pacific,2008,8.0,0,2,1,0,0,2,0,0
0,Pacific,2008,11.0,0,2,1,0,0,2,0,0
0,Pacific,2009,9.7,0,2,1,0,0,2,0,0
0,Pacific,2012,7.0,0,1,0,0,0,1,0,0
0,Pacific,2009,2.5,0,1,2,0,0,1,2,1
0,Pacific,2009,3.0,0,1,2,0,0,1,2,1
0,Pacific,2009,3.0,0,1,2,0,0,1,2,1
